Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Study_Efficiency,Wellness,Study_Intensity,Attendance_Study_Balance,Score_Consistency,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_Yes,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_Yes,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_Yes,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male,Risk_Factor,Motivation_Adjusted_Study,Exam_Score
23,84,7,73,0,3,1679,21,2.875,1932,50,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,True,0,67
19,64,8,59,2,4,1121,32,2.111111111111111,1216,40,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,True,0,61
24,98,7,91,2,4,2184,28,3.0,2352,67,False,True,False,True,True,False,True,True,False,True,False,True,True,True,False,False,False,True,False,True,True,False,24,74
29,89,8,98,1,4,2842,32,3.2222222222222223,2581,69,True,False,False,True,True,False,True,True,False,True,False,True,True,False,False,False,True,False,True,False,True,True,29,71
19,92,6,65,3,4,1235,24,2.7142857142857144,1748,46,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,19,70
19,88,8,89,3,3,1691,24,2.111111111111111,1672,70,False,True,False,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False,19,71
29,84,7,68,1,2,1972,14,3.625,2436,39,False,True,True,False,True,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,0,67
25,78,6,50,1,2,1250,12,3.5714285714285716,1950,25,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,25,66
17,94,6,80,0,1,1360,6,2.4285714285714284,1598,63,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,34,69
23,98,8,71,0,5,1633,40,2.5555555555555554,2254,48,False,True,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,23,72
17,80,8,88,4,4,1496,32,1.8888888888888888,1360,71,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,17,68
17,97,6,87,2,2,1479,12,2.4285714285714284,1649,70,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,0,71
21,83,8,97,2,4,2037,32,2.3333333333333335,1743,76,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,0,70
9,82,8,72,2,3,648,24,1.0,738,63,False,True,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,True,False,9,66
10,78,8,74,1,4,740,32,1.1111111111111112,780,64,False,True,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False,10,65
17,68,8,70,2,4,1190,32,1.8888888888888888,1156,53,False,True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,17,64
14,60,10,65,0,3,910,30,1.2727272727272727,840,51,False,True,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,0,60
22,70,6,82,1,3,1804,18,3.142857142857143,1540,60,True,False,False,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,22,65
15,80,9,91,3,2,1365,18,1.5,1200,76,False,True,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,False,0,67
12,75,7,58,3,4,696,28,1.5,900,46,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,12,66
29,78,5,99,0,1,2871,5,4.833333333333333,2262,70,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,58,69
19,99,6,84,1,3,1596,18,2.7142857142857144,1881,65,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,19,72
20,74,8,89,1,2,1780,16,2.2222222222222223,1480,69,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,0,66
11,78,8,100,1,3,1100,24,1.2222222222222223,858,89,False,False,False,True,True,False,False,True,True,False,False,True,True,True,False,False,True,False,True,False,True,False,22,66
17,65,5,75,2,3,1275,15,2.8333333333333335,1105,58,True,False,False,False,True,False,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,17,63
21,62,6,54,0,3,1134,18,3.0,1302,33,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,42,64
13,91,6,90,1,2,1170,12,1.8571428571428572,1183,77,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,True,13,65
22,83,6,94,0,2,2068,12,3.142857142857143,1826,72,False,False,False,False,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,22,71
16,90,4,58,1,3,928,12,3.2,1440,42,False,True,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,False,16,66
18,66,4,51,2,2,918,8,3.6,1188,33,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,0,64
16,83,6,57,0,4,912,24,2.2857142857142856,1328,41,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,True,True,False,False,True,False,True,16,63
31,70,7,66,1,3,2046,21,3.875,2170,35,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,31,69
20,69,8,96,2,3,1920,24,2.2222222222222223,1380,76,False,True,False,True,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,20,67
14,60,5,50,2,3,700,15,2.3333333333333335,840,36,False,False,False,True,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,14,61
25,65,5,90,2,3,2250,15,4.166666666666667,1625,65,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,25,68
13,72,6,93,1,3,1209,18,1.8571428571428572,936,80,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,True,True,True,0,61
21,65,7,91,2,3,1911,21,2.625,1365,70,False,True,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,0,64
8,99,9,54,2,5,432,45,0.8,792,46,False,True,False,True,False,True,False,True,True,False,False,True,True,True,False,False,False,True,False,True,False,False,0,67
12,72,8,84,1,5,1008,40,1.3333333333333333,864,72,True,False,False,True,True,False,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,12,63
21,65,6,98,1,4,2058,24,3.0,1365,77,True,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,True,0,64
24,68,8,56,3,1,1344,8,2.6666666666666665,1632,32,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,0,67
21,84,6,52,1,2,1092,12,3.0,1764,31,False,True,False,True,True,True,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,0,65
19,63,7,94,1,3,1786,21,2.375,1197,75,True,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,19,64
18,94,7,82,3,2,1476,14,2.25,1692,64,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,True,True,18,70
11,98,9,82,1,3,902,27,1.1,1078,71,False,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,0,68
16,70,8,98,2,3,1568,24,1.7777777777777777,1120,82,False,True,False,True,True,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,16,65
17,78,6,88,1,3,1496,18,2.4285714285714284,1326,71,False,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,17,68
26,61,6,70,2,3,1820,18,3.7142857142857144,1586,44,False,True,True,False,True,False,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,26,64
22,86,7,72,3,2,1584,14,2.75,1892,50,True,False,False,True,True,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,True,0,68
9,77,5,57,2,3,513,15,1.5,693,48,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,9,63
22,71,7,65,1,4,1430,28,2.75,1562,43,True,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,True,False,True,True,0,64
18,68,7,72,0,3,1296,21,2.25,1224,54,False,False,False,True,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,False,18,64
16,86,8,63,2,4,1008,32,1.7777777777777777,1376,47,True,False,False,True,True,False,True,True,False,True,False,True,True,False,True,False,True,False,False,True,True,True,16,67
24,77,8,96,0,3,2304,24,2.6666666666666665,1848,72,False,False,True,False,False,False,True,True,False,True,False,True,True,True,False,False,True,False,False,True,False,True,24,67
26,67,7,51,2,4,1326,28,3.25,1742,25,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,0,66
26,88,5,79,1,4,2054,20,4.333333333333333,2288,53,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,26,72
15,83,5,89,1,2,1335,10,2.5,1245,74,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,False,True,False,True,0,65
18,94,6,87,1,4,1566,24,2.5714285714285716,1692,69,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,36,71
22,65,8,82,2,1,1804,8,2.4444444444444446,1430,60,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,22,66
26,91,8,71,0,3,1846,24,2.888888888888889,2366,45,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,26,68
17,87,7,96,1,5,1632,35,2.125,1479,79,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,17,70
19,65,10,66,0,3,1254,30,1.7272727272727273,1235,47,False,True,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,0,62
13,88,9,88,2,4,1144,36,1.3,1144,75,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,26,68
13,78,9,96,2,3,1248,27,1.3,1014,83,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True,False,26,67
25,98,8,56,0,3,1400,24,2.7777777777777777,2450,31,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True,25,71
28,66,8,97,0,2,2716,16,3.111111111111111,1848,69,False,True,False,False,True,False,True,True,False,True,False,True,True,True,False,False,True,False,False,True,True,False,28,68
20,86,8,89,1,3,1780,24,2.2222222222222223,1720,69,False,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,False,True,False,True,True,False,20,69
26,75,4,81,3,2,2106,8,5.2,1950,55,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,True,52,70
22,98,5,69,1,4,1518,20,3.6666666666666665,2156,47,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0,69
16,73,7,95,1,4,1520,28,2.0,1168,79,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,16,65
22,98,7,52,3,3,1144,21,2.75,2156,30,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,22,70
29,96,7,72,1,3,2088,21,3.625,2784,43,False,True,True,False,True,False,True,True,True,False,False,True,True,False,True,False,True,False,True,False,True,True,29,71
20,71,7,88,1,4,1760,28,2.5,1420,68,False,True,False,True,True,False,True,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,20,65
29,92,4,91,2,1,2639,4,5.8,2668,62,True,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,29,72
4,100,8,60,0,4,240,32,0.4444444444444444,400,56,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,8,69
25,70,7,52,1,3,1300,21,3.125,1750,27,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,False,False,True,False,True,False,False,25,66
21,77,7,90,4,3,1890,21,2.625,1617,69,True,False,False,True,True,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,21,68
18,81,8,71,0,3,1278,24,2.0,1458,53,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False,False,True,18,65
21,72,5,57,1,5,1197,25,3.5,1512,36,False,True,False,True,True,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,True,True,21,64
